Entity,Code,Date,V_cum
Ghana,GHA,2021-04-07,0
Ghana,GHA,2021-04-08,0
Ghana,GHA,2021-04-09,0
Ghana,GHA,2021-04-11,0
Ghana,GHA,2021-04-12,0
Ghana,GHA,2021-04-15,0
Ghana,GHA,2021-04-20,0
Ghana,GHA,2021-04-26,0
Ghana,GHA,2021-05-24,0
Ghana,GHA,2021-05-31,376169
Ghana,GHA,2021-06-20,380829
Ghana,GHA,2021-07-05,396759
Ghana,GHA,2021-07-12,400342
Ghana,GHA,2021-07-19,405971
Ghana,GHA,2021-09-20,758160
Ghana,GHA,2021-10-07,820037
Ghana,GHA,2021-10-21,825706
Ghana,GHA,2021-10-28,830643
Ghana,GHA,2021-11-04,833393
Ghana,GHA,2021-11-05,834331
Ghana,GHA,2021-11-10,835989
Ghana,GHA,2021-11-18,839770
Ghana,GHA,2021-11-24,842225
Ghana,GHA,2021-12-15,1565507
Ghana,GHA,2021-12-23,2334010
Ghana,GHA,2022-01-13,2918596
Ghana,GHA,2022-01-17,3138206
Ghana,GHA,2022-02-10,4570431
Ghana,GHA,2022-02-25,4867214
Ghana,GHA,2022-03-20,5050369
Ghana,GHA,2022-03-29,5070306
Ghana,GHA,2022-03-31,5070306
Ghana,GHA,2022-04-26,5532611
Ghana,GHA,2022-05-01,5807263
Ghana,GHA,2022-05-08,6030567
Ghana,GHA,2022-05-15,6126483
Ghana,GHA,2022-05-22,6329702
Ghana,GHA,2022-05-29,6410470
Ghana,GHA,2022-06-19,7089576
Ghana,GHA,2022-06-26,7193153
Ghana,GHA,2022-07-10,7691954
Ghana,GHA,2022-07-17,7880395
Ghana,GHA,2022-07-24,7928573
Ghana,GHA,2022-07-31,8010792
Ghana,GHA,2022-08-21,8105359
Ghana,GHA,2022-08-28,8224173
Ghana,GHA,2022-09-04,8251886
Ghana,GHA,2022-09-11,8343375
Ghana,GHA,2022-09-18,8361840
Ghana,GHA,2022-10-02,8493646
Ghana,GHA,2022-10-09,8674764
Ghana,GHA,2022-10-30,8758799
Ghana,GHA,2022-11-13,8951034
Ghana,GHA,2022-11-27,8977750
Ghana,GHA,2022-12-11,9183560
Ghana,GHA,2023-01-15,9806758
Ghana,GHA,2023-03-12,10105181
Ghana,GHA,2023-03-26,10170298
Ghana,GHA,2023-07-02,10780003
